Ax,Ay,Az,Gx,Gy,Gz
0.6078039019509754,0.4345759319489618,0.555666750062547,0.0,0.8837905715332159,0.2345413956084204
0.4197098549274637,0.4240680510382788,0.5949462096572431,0.6861189109998779,1.0,0.7107801245269199
0.4952476238119059,0.4898674005504129,0.7525644233174882,0.5006557720145804,0.4942323456058042,0.5005197342030452
0.2116058029014507,0.3350012509382037,0.558418814110583,0.403003296300818,0.9958037567364876,0.522280551825174
0.5632816408204101,0.3615211408556418,0.8593945459094322,0.5958822400892966,0.4666393428327258,0.4528594101540018
0.5542771385692846,0.4473355016262198,0.4195646735051289,0.0,0.8620140572405253,0.2410886513071838
0.4734867433716858,0.5481611208406306,0.7202902176632475,0.9977257268430506,0.6253361703611978,0.4692188290283761
0.3519259629814907,0.5566675006254692,0.6272204153114838,0.990050054938347,1.0,0.4489683799291906
0.1175587793896948,0.542406805103828,0.5771828871653741,0.5988436786019499,1.0,0.7394405008981983
0.568784392196098,0.341506129597198,0.7638228671503628,0.0,0.5110330153304149,0.5320473690636064
0.2068534267133566,0.4053039779834877,0.5323992994746061,0.5960357186459005,0.1881333170553046,0.4223381062839004
0.4947473736868433,0.4893670252689518,0.7525644233174882,0.5005947294068402,0.4942462982018591,0.5005040375324834
0.4939969984992495,0.4883662747060296,0.7525644233174882,0.5006261227479638,0.4942462982018591,0.5005336867991
0.4939969984992495,0.4883662747060296,0.7528146109582188,0.5006261227479638,0.4942776915429827,0.5003662556464412
0.24112056028014,0.5511633725293972,0.6572429321991495,0.2212341071210561,0.0,0.1351640302073704
0.4949974987493746,0.4898674005504129,0.7528146109582188,0.5005493834696618,0.4941242129863787,0.5005197342030452
0.5502751375687843,0.4240680510382788,0.8233675256442332,0.5900988890245391,0.0,0.4886007290231439
0.3786893446723361,0.2967225419064299,0.4438328746559921,6.104260774025816e-05,0.6955194725918692,0.830041683380714
0.5597798899449724,0.6067050287715788,0.4418313735301477,0.3683014458377662,1.0,0.9999703507333833
0.4949974987493746,0.4898674005504129,0.7528146109582188,0.500687165355704,0.4941556063275023,0.5004883408619216
0.0080040020010004,0.5566675006254692,0.5331498623967977,0.6724296701955108,0.0005493834696618,0.4871967490451192
0.4944972486243121,0.4881160870652991,0.7528146109582188,0.5007028620262658,0.4942166489352425,0.5005040375324834
0.4959979989994997,0.4886164623467602,0.7525644233174882,0.5006418194185256,0.4942009522646807,0.5005493834696618
0.5515257628814406,0.3890417813360021,0.6634976232174132,0.0,0.4110905697891414,0.5391283115614699
0.4954977488744371,0.4901175881911435,0.7528146109582188,0.5006418194185256,0.4942323456058042,0.5004569475207981
0.5385192596298148,0.3517638228671504,0.6067050287715787,0.0,0.2790100633099046,0.506119957444582
0.6988494247123561,0.1230923192394297,0.326494871153365,0.6961612920103947,0.3135915726319828,0.4833353680869247
0.8586793396698348,0.3595196397297974,0.7858393795346511,0.5542668782810402,0.3315834452447809,0.5088511781223294
0.3734367183591796,0.4005504128096073,0.6915186389792345,0.446252855922005,0.5785321868950242,0.5479951863543611
0.7358679339669834,0.3525143857893421,0.4415811858894171,0.4515775153914575,0.99647522542163,0.7132671747737063
0.344672336168084,0.5251438578934202,0.6112084063047286,0.435615745504648,1.0,0.3791513333449605
0.4954977488744371,0.3565173880410309,0.7010257693269953,0.0,0.6288766416101296,0.6132950799658161
0.8566783391695847,0.336502376782587,1.0000000000000002,0.7674730104470062,0.3722221253291941,0.3797914086889792
0.5975487743871936,0.359769827370528,0.4140605454090568,0.0,0.4329455674346408,0.2745853462859933
0.3404202101050525,0.4073054791093321,0.4873655241431074,0.4720267889844254,0.9778258367197448,0.5171826220416136
0.1838419209604802,0.4921190893169879,0.6710032524393297,0.6482271482637738,0.0,0.3501700472644191
0.4942471235617808,0.4888666499874907,0.7530647985989494,0.5006261227479638,0.4942323456058042,0.5004569475207981
0.5220110055027514,0.367525644233175,0.7888416312234177,1.0,0.4827563353506461,0.5579137380748905
0.4089544772386193,0.6014510883162374,0.6542406805103829,0.0721366656783578,0.0,0.0998657062629715
0.4952476238119059,0.490367775831874,0.7528146109582188,0.5006557720145804,0.4942323456058042,0.5005040375324834
0.5717858929464732,0.599449587190393,0.6892669502126596,0.4571934353035561,1.0,0.591869124649005
