Ax,Ay,Az,Gx,Gy,Gz,Label
-0.018,-0.039,1.012,0.359,-3.351,0.298,Idle
-0.018,-0.040,1.010,0.376,-3.351,0.315,Idle
-0.018,-0.041,1.011,0.420,-3.342,0.289,Idle
-0.018,-0.039,1.009,0.368,-3.325,0.280,Idle
-0.019,-0.040,1.011,0.385,-3.334,0.245,Idle
-0.020,-0.040,1.010,0.359,-3.351,0.315,Idle
-0.019,-0.040,1.010,0.315,-3.307,0.289,Idle
-0.019,-0.041,1.011,0.350,-3.334,0.262,Idle
-0.018,-0.041,1.011,0.420,-3.342,0.306,Idle
-0.018,-0.040,1.011,0.333,-3.351,0.271,Idle
-0.019,-0.040,1.011,0.333,-3.334,0.324,Idle
-0.019,-0.041,1.011,0.376,-3.342,0.280,Idle
-0.018,-0.041,1.010,0.420,-3.316,0.306,Idle
-0.019,-0.039,1.011,0.394,-3.316,0.254,Idle
-0.018,-0.040,1.011,0.350,-3.325,0.262,Idle
-0.018,-0.040,1.012,0.394,-3.351,0.306,Idle
-0.018,-0.040,1.011,0.376,-3.316,0.289,Idle
-0.019,-0.040,1.013,0.350,-3.325,0.254,Idle
-0.018,-0.041,1.010,0.359,-3.342,0.289,Idle
-0.018,-0.041,1.012,0.368,-3.299,0.289,Idle
-0.018,-0.040,1.010,0.403,-3.316,0.289,Idle
-0.019,-0.040,1.010,0.368,-3.351,0.298,Idle
-0.018,-0.040,1.010,0.420,-3.369,0.306,Idle
-0.019,-0.041,1.010,0.368,-3.264,0.315,Idle
-0.019,-0.040,1.011,0.333,-3.325,0.298,Idle
-0.018,-0.040,1.010,0.420,-3.369,0.324,Idle
-0.018,-0.040,1.009,0.368,-3.360,0.315,Idle
-0.018,-0.040,1.012,0.341,-3.351,0.298,Idle
-0.018,-0.041,1.010,0.350,-3.342,0.324,Idle
-0.017,-0.039,1.011,0.350,-3.351,0.350,Idle
